"strategy","Other modes_12","Other modes_24","Other modes_48","Other modes_72","Overall survival_12","Overall survival_24","Overall survival_48","Overall survival_72","Vaginal delivery_12","Vaginal delivery_24","Vaginal delivery_48","Vaginal delivery_72"
"a_1","0.10 (0.08, 0.11)","0.20 (0.18, 0.22)","0.20 (0.18, 0.22)","0.20 (0.18, 0.22)","0.41 (0.39, 0.44)","0.03 (0.02, 0.04)","-0.00 (-0.00, 0.00)","-0.00 (-0.00, 0.00)","0.49 (0.46, 0.52)","0.78 (0.75, 0.80)","0.80 (0.78, 0.82)","0.80 (0.78, 0.82)"
"a_2","0.02 (0.02, 0.02)","0.17 (0.16, 0.18)","0.20 (0.18, 0.22)","0.20 (0.18, 0.22)","0.75 (0.74, 0.75)","0.09 (0.08, 0.10)","0.00 (-0.00, 0.00)","0.00 (-0.00, 0.00)","0.24 (0.23, 0.24)","0.74 (0.72, 0.76)","0.80 (0.78, 0.82)","0.80 (0.78, 0.82)"
"a_3","0.01 (0.01, 0.01)","0.04 (0.04, 0.05)","0.17 (0.15, 0.18)","0.17 (0.15, 0.18)","0.77 (0.76, 0.78)","0.50 (0.49, 0.51)","0.00 (0.00, 0.01)","0.00 (-0.00, 0.00)","0.22 (0.21, 0.23)","0.46 (0.45, 0.47)","0.83 (0.81, 0.84)","0.83 (0.82, 0.85)"
"a_4","0.01 (0.01, 0.01)","0.02 (0.02, 0.03)","0.12 (0.11, 0.13)","0.13 (0.12, 0.14)","0.77 (0.76, 0.78)","0.57 (0.56, 0.58)","0.03 (0.03, 0.04)","0.00 (-0.00, 0.00)","0.22 (0.21, 0.23)","0.40 (0.39, 0.41)","0.85 (0.84, 0.86)","0.87 (0.86, 0.88)"
"a_5","0.01 (0.01, 0.01)","0.02 (0.02, 0.03)","0.08 (0.07, 0.09)","0.12 (0.11, 0.13)","0.77 (0.76, 0.78)","0.57 (0.56, 0.58)","0.21 (0.19, 0.22)","0.04 (0.03, 0.04)","0.22 (0.21, 0.22)","0.40 (0.39, 0.41)","0.72 (0.70, 0.73)","0.85 (0.83, 0.86)"
