"time","CIF","lower","upper","group","interval"
66,0.192094312687132,0.166745887110953,0.21883584271662,"induced","0–8"
67,0.192094312687132,0.166745887110953,0.21883584271662,"induced","0–8"
68,0.192094312784883,0.166745887211745,0.218835842809538,"induced","0–8"
69,0.192094312826757,0.16674588725514,0.2188358428491,"induced","0–8"
70,0.192094312826757,0.16674588725514,0.2188358428491,"induced","0–8"
71,0.192094312852406,0.166745887281321,0.218835842873776,"induced","0–8"
72,0.192094312852406,0.166745887281321,0.218835842873776,"induced","0–8"
73,0.192094312852406,0.166745887281321,0.218835842873776,"induced","0–8"
74,0.192094312919358,0.166745887349676,0.218835842938175,"induced","0–8"
75,0.192094312919358,0.166745887349676,0.218835842938175,"induced","0–8"
76,0.192094312937095,0.166745887368322,0.218835842954638,"induced","0–8"
77,0.192094312943992,0.166745887375632,0.218835842960974,"induced","0–8"
78,0.192094312943992,0.166745887375632,0.218835842960974,"induced","0–8"
79,0.192094312943992,0.166745887375632,0.218835842960974,"induced","0–8"
80,0.192094312943992,0.166745887375632,0.218835842960974,"induced","0–8"
81,0.192094312953646,0.166745887385838,0.21883584296987,"induced","0–8"
82,0.192094312953646,0.166745887385838,0.21883584296987,"induced","0–8"
83,0.192094312957265,0.166745887389731,0.218835842973132,"induced","0–8"
84,0.192094312957265,0.166745887389731,0.218835842973132,"induced","0–8"
85,0.192094312959929,0.166745887392602,0.218835842975524,"induced","0–8"
86,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
87,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
88,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
89,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
90,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
91,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
92,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
93,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
94,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
95,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
96,0.192094312962197,0.166745887395076,0.21883584297753,"induced","0–8"
97,0.192094312962599,0.166745887395489,0.218835842977913,"induced","0–8"
98,0.192094312963484,0.166745887396432,0.218835842978721,"induced","0–8"
99,0.192094312963484,0.166745887396432,0.218835842978721,"induced","0–8"
100,0.192094312963484,0.166745887396432,0.218835842978721,"induced","0–8"
101,0.192094312963484,0.166745887396432,0.218835842978721,"induced","0–8"
102,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
103,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
104,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
105,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
106,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
107,0.192094312963556,0.166745887396511,0.218835842978785,"induced","0–8"
108,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
109,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
110,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
111,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
112,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
113,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
114,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
115,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
116,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
117,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
118,0.192094312963574,0.16674588739653,0.218835842978801,"induced","0–8"
