"time","CIF","lower","upper","group","interval"
0,0,0,0,"expectant","0–8"
1,0,0,0,"expectant","0–8"
2,0,0,0,"expectant","0–8"
3,0,0,0,"expectant","0–8"
4,0,0,0,"expectant","0–8"
5,0,0,0,"expectant","0–8"
6,0,0,0,"expectant","0–8"
7,0,0,0,"expectant","0–8"
8,0,0,0,"expectant","0–8"
9,0.0315309045994022,0.028695874408599,0.0345595272945864,"expectant","0–8"
10,0.0655706870465419,0.0613584095028198,0.0699615455061574,"expectant","0–8"
11,0.0969500796511748,0.0917544311550299,0.102309906630447,"expectant","0–8"
12,0.129597716094785,0.123535143598298,0.135808669077805,"expectant","0–8"
13,0.163562074954048,0.156769145646235,0.170483721113241,"expectant","0–8"
14,0.196865475418727,0.189451377658202,0.204388590814125,"expectant","0–8"
15,0.231642670184188,0.223654503341132,0.239718939353032,"expectant","0–8"
16,0.26242622388053,0.254035628006635,0.270885126619567,"expectant","0–8"
17,0.292703808152101,0.284001356379873,0.30145468408136,"expectant","0–8"
18,0.323961186351451,0.314923264962951,0.333027651726659,"expectant","0–8"
19,0.353992744299889,0.344688826167886,0.36330574556681,"expectant","0–8"
20,0.382008714223324,0.372537803586606,0.391470450242655,"expectant","0–8"
21,0.405510520696504,0.395972442077873,0.415024464941132,"expectant","0–8"
22,0.42915110940399,0.419511295717574,0.438751661649037,"expectant","0–8"
23,0.44992306759683,0.440234850171411,0.45955899319421,"expectant","0–8"
24,0.469763288740585,0.46003493387289,0.479426896707513,"expectant","0–8"
25,0.489267299019638,0.479527154373413,0.498930713486801,"expectant","0–8"
26,0.509611742372298,0.499860236482432,0.51927387392849,"expectant","0–8"
27,0.52396757553801,0.514212713865899,0.533624069275899,"expectant","0–8"
28,0.540999702524431,0.531270444505182,0.55062035318584,"expectant","0–8"
29,0.55531129627292,0.545610699363687,0.56489470884464,"expectant","0–8"
30,0.573950282459571,0.564287701774737,0.58348428571773,"expectant","0–8"
31,0.589429585723561,0.579805854449928,0.598915208742874,"expectant","0–8"
32,0.607798843286615,0.598219919927622,0.61722792346181,"expectant","0–8"
33,0.626117363083087,0.616605525233053,0.635467871003035,"expectant","0–8"
34,0.645197142277229,0.635779261491398,0.654442017988948,"expectant","0–8"
35,0.663130561062159,0.653816234909991,0.672260940738305,"expectant","0–8"
36,0.679893299788308,0.670661510970326,0.688929769255434,"expectant","0–8"
37,0.694169595850805,0.685028356674922,0.703106140014901,"expectant","0–8"
38,0.709196171623706,0.700148541906857,0.718028568189055,"expectant","0–8"
39,0.722496110208877,0.713528213517406,0.731238676003669,"expectant","0–8"
40,0.735653443242623,0.726781412658436,0.744290346469869,"expectant","0–8"
41,0.748156335155897,0.739370358827692,0.756696932599987,"expectant","0–8"
42,0.757923381568618,0.749204755604185,0.766388079150904,"expectant","0–8"
43,0.766847140983665,0.758217964165781,0.775215758117878,"expectant","0–8"
44,0.775921797419261,0.767370996132587,0.784204113829469,"expectant","0–8"
45,0.784416202284024,0.77593172609675,0.792623846138736,"expectant","0–8"
46,0.791031921295808,0.782619083575911,0.799162361622569,"expectant","0–8"
47,0.79676969946896,0.788405219077691,0.80484578559313,"expectant","0–8"
48,0.802943879844019,0.794651570499697,0.810942417847419,"expectant","0–8"
49,0.808345769082324,0.800103413357146,0.816288470160514,"expectant","0–8"
50,0.814471747929867,0.80627542174528,0.822360611481581,"expectant","0–8"
51,0.818557519032552,0.810399764077406,0.826402940020102,"expectant","0–8"
52,0.822159877830952,0.814029727300597,0.829972747578429,"expectant","0–8"
53,0.825143615875102,0.817035962033233,0.832929727027569,"expectant","0–8"
54,0.827002195827947,0.818916334441733,0.834764404526318,"expectant","0–8"
55,0.829587792522178,0.821518891884845,0.837328975016416,"expectant","0–8"
56,0.832376383453105,0.824329206148109,0.840091609752611,"expectant","0–8"
57,0.834442008423575,0.826410385693405,0.84213841873213,"expectant","0–8"
58,0.836200924120421,0.828182408034807,0.843881381133335,"expectant","0–8"
59,0.837856803872873,0.829852377960792,0.845520586060134,"expectant","0–8"
60,0.83910411860598,0.831109750997379,0.846755817418587,"expectant","0–8"
61,0.840251707689806,0.832262985766168,0.84789556776737,"expectant","0–8"
62,0.841600551811617,0.833617346920214,0.849236185111468,"expectant","0–8"
63,0.84222120223408,0.834240332060839,0.849853222384006,"expectant","0–8"
64,0.842945002040459,0.834966751793958,0.850572890907057,"expectant","0–8"
65,0.844186962349155,0.836215604195609,0.851805543442111,"expectant","0–8"
66,0.844497288354336,0.836526972749383,0.852114158900811,"expectant","0–8"
67,0.845117544966629,0.837150387129933,0.852730008779494,"expectant","0–8"
68,0.8456350462055,0.837672189518392,0.853242305367862,"expectant","0–8"
69,0.845738893507879,0.837776225935524,0.853345722696826,"expectant","0–8"
70,0.846775743576058,0.838816742007735,0.8543766418856,"expectant","0–8"
71,0.847396968713788,0.839441406123603,0.854993167310512,"expectant","0–8"
72,0.847500341997057,0.839545998234446,0.855095168198888,"expectant","0–8"
73,0.848431924470499,0.840479528921006,0.856022607039686,"expectant","0–8"
74,0.848639308355505,0.840689003795143,0.856227555347325,"expectant","0–8"
75,0.848953361320196,0.841003025298517,0.856540831100849,"expectant","0–8"
76,0.849057257159013,0.841104563251419,0.856646607038366,"expectant","0–8"
77,0.849264835947469,0.841312760876299,0.856853086975179,"expectant","0–8"
78,0.849473902950967,0.841521871754554,0.857061573544113,"expectant","0–8"
79,0.849577807162781,0.841625929727975,0.857165068639461,"expectant","0–8"
80,0.8496816159987,0.841729568466317,0.857268763100911,"expectant","0–8"
81,0.849786202955042,0.841834100371109,0.857373128571242,"expectant","0–8"
82,0.849995179912555,0.842040997664623,0.857583454538798,"expectant","0–8"
83,0.850205015580921,0.842250791616389,0.85779278050434,"expectant","0–8"
84,0.850205015580921,0.842250791616389,0.85779278050434,"expectant","0–8"
85,0.850414397683237,0.842460566364611,0.858001257451915,"expectant","0–8"
86,0.850727332674468,0.842773382994132,0.858313478654381,"expectant","0–8"
87,0.851039241988309,0.843085853142845,0.858624055939639,"expectant","0–8"
88,0.851039241988309,0.843085853142845,0.858624055939639,"expectant","0–8"
89,0.851039241988309,0.843085853142845,0.858624055939639,"expectant","0–8"
90,0.851246532162189,0.843294911009028,0.85882919071321,"expectant","0–8"
91,0.851350757938534,0.843398520214933,0.858933701191834,"expectant","0–8"
92,0.851669439395169,0.843727020239732,0.859242610254701,"expectant","0–8"
93,0.851882587251175,0.843940500446681,0.859454889564374,"expectant","0–8"
94,0.852200883277721,0.84426018080765,0.859771078837763,"expectant","0–8"
95,0.852417501582179,0.844476797337814,0.859987119488423,"expectant","0–8"
96,0.852631177504086,0.844689934121429,0.860200712316059,"expectant","0–8"
97,0.852631177504086,0.844689934121429,0.860200712316059,"expectant","0–8"
98,0.852739306185613,0.844797699647315,0.860308880368386,"expectant","0–8"
99,0.852739306185613,0.844797699647315,0.860308880368386,"expectant","0–8"
100,0.853061475316344,0.845120831785463,0.860629306657103,"expectant","0–8"
101,0.853277768879314,0.845336460822251,0.860845619027997,"expectant","0–8"
102,0.853277768879314,0.845336460822251,0.860845619027997,"expectant","0–8"
103,0.853607333284362,0.845663953157391,0.861176170625104,"expectant","0–8"
104,0.853716138365863,0.845772326230189,0.861285071749834,"expectant","0–8"
105,0.853716138365863,0.845772326230189,0.861285071749834,"expectant","0–8"
106,0.853716138365863,0.845772326230189,0.861285071749834,"expectant","0–8"
107,0.853716138365863,0.845772326230189,0.861285071749834,"expectant","0–8"
108,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
109,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
110,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
111,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
112,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
113,0.853824260808641,0.845881120938199,0.861392289192872,"expectant","0–8"
114,0.854046518937991,0.846102770061944,0.861614493046641,"expectant","0–8"
115,0.854157150047341,0.846213434925572,0.861724790684032,"expectant","0–8"
116,0.854267874815068,0.846326564581363,0.861833029503273,"expectant","0–8"
117,0.854267874815068,0.846326564581363,0.861833029503273,"expectant","0–8"
118,0.854382940597057,0.846441739592799,0.861947680477135,"expectant","0–8"
119,0.854498360013265,0.846556482809401,0.862063396330877,"expectant","0–8"
120,0.85461232823227,0.846670294404184,0.862177193013341,"expectant","0–8"
0,0,0,0,"induced","0–8"
1,0,0,0,"induced","0–8"
2,0,0,0,"induced","0–8"
3,0,0,0,"induced","0–8"
4,0,0,0,"induced","0–8"
5,0,0,0,"induced","0–8"
6,0,0,0,"induced","0–8"
7,0,0,0,"induced","0–8"
8,0,0,0,"induced","0–8"
9,0.119913775321369,0.108604601026496,0.13181666509695,"induced","0–8"
10,0.234560971877001,0.218163191829645,0.251322769902004,"induced","0–8"
11,0.327337576805617,0.307753726442749,0.347045020199894,"induced","0–8"
12,0.411903515264072,0.389917712011703,0.433741085631872,"induced","0–8"
13,0.48755980984835,0.463760664467511,0.510912316659588,"induced","0–8"
14,0.551285735660769,0.526310755555014,0.575515416397172,"induced","0–8"
15,0.60714885113147,0.581391767183218,0.631853895840488,"induced","0–8"
16,0.648405512609975,0.622209554838523,0.673286751627068,"induced","0–8"
17,0.682362502451606,0.655842908991699,0.707314814683592,"induced","0–8"
18,0.711123862090848,0.684451774817586,0.735992905647303,"induced","0–8"
19,0.733806520221241,0.707048882059722,0.758551493039617,"induced","0–8"
20,0.750956503969929,0.724099833896494,0.775616170794211,"induced","0–8"
21,0.76276679991215,0.735800411158937,0.787389492290475,"induced","0–8"
22,0.772705872014619,0.745675952054479,0.797263644866248,"induced","0–8"
23,0.77997348667558,0.752870411792783,0.804499491609714,"induced","0–8"
24,0.785694611219423,0.758516907006212,0.810205200095989,"induced","0–8"
25,0.790319118041781,0.763061436050363,0.814830044476875,"induced","0–8"
26,0.794270841672685,0.766931587030386,0.818790222642007,"induced","0–8"
27,0.79660967119603,0.76921876690364,0.821135579591118,"induced","0–8"
28,0.798976254819683,0.771527589414514,0.823512218154131,"induced","0–8"
29,0.800631149449634,0.773138064208161,0.825176758096025,"induced","0–8"
30,0.802405579328495,0.774862296257822,0.826962995164025,"induced","0–8"
31,0.803598550289456,0.776019989388117,0.82816476876789,"induced","0–8"
32,0.804750385543478,0.777138401432824,0.829324322410592,"induced","0–8"
33,0.805656085055329,0.778019183997934,0.830234820755168,"induced","0–8"
34,0.806378754081253,0.778722270999855,0.830960962122253,"induced","0–8"
35,0.806888226324135,0.779218394944981,0.831472457404447,"induced","0–8"
36,0.80723637300513,0.779556779810805,0.831822461229879,"induced","0–8"
37,0.807454022919011,0.779767714736721,0.832041742123105,"induced","0–8"
38,0.807618012211905,0.779926090633383,0.832207390273526,"induced","0–8"
39,0.807720932071222,0.780025247476303,0.832311537360359,"induced","0–8"
40,0.807790554046707,0.780091882107457,0.832382336360459,"induced","0–8"
41,0.807835883515432,0.78013517997436,0.832428499774079,"induced","0–8"
42,0.807860974276721,0.780159179853516,0.832454025392664,"induced","0–8"
43,0.807877295725258,0.780174764199675,0.832470651293326,"induced","0–8"
44,0.80788865454036,0.780185534668518,0.832482281346732,"induced","0–8"
45,0.807895740984792,0.780192215350087,0.832489567499489,"induced","0–8"
46,0.807899500494141,0.780195745102302,0.832493444373262,"induced","0–8"
47,0.807901675927522,0.780197759642676,0.832495709740804,"induced","0–8"
48,0.807903268316415,0.780199219530756,0.832497379567573,"induced","0–8"
49,0.807904232785418,0.780200105933067,0.832498389215721,"induced","0–8"
50,0.807904938235504,0.780200751687417,0.832499129756302,"induced","0–8"
51,0.807905246484573,0.780201033480222,0.832499453631401,"induced","0–8"
52,0.807905423394644,0.780201192855389,0.83249964136249,"induced","0–8"
53,0.807905525785672,0.780201284584533,0.832499750420842,"induced","0–8"
54,0.807905569536555,0.780201323105133,0.83249979755223,"induced","0–8"
55,0.807905613777074,0.780201361674496,0.832499845512412,"induced","0–8"
56,0.807905645158823,0.78020138866414,0.832499879823732,"induced","0–8"
57,0.807905660833034,0.780201402070648,0.832499897019478,"induced","0–8"
58,0.807905670328198,0.78020141013337,0.83249990748263,"induced","0–8"
59,0.807905676819156,0.780201415630557,0.832499914646772,"induced","0–8"
60,0.807905680267233,0.780201418516585,0.832499918479363,"induced","0–8"
61,0.807905682462425,0.780201420313636,0.832499920951128,"induced","0–8"
62,0.807905684190605,0.780201421700829,0.832499922918751,"induced","0–8"
63,0.807905684817186,0.780201422203646,0.832499923632252,"induced","0–8"
64,0.807905685362992,0.780201422633989,0.832499924259803,"induced","0–8"
65,0.807905686012443,0.780201423136813,0.832499925013805,"induced","0–8"
66,0.807905686136592,0.780201423232627,0.832499925158181,"induced","0–8"
67,0.807905686349344,0.780201423396229,0.832499925406063,"induced","0–8"
