"time","event","prob","method","cif_lower","cif_upper","clone"
11,"Vaginal delivery",0.00195907119242735,"No weights",0.00117428437563622,0.00284612014419173,"strategy_1"
11,"Other modes",0,"No weights",0,0,"strategy_1"
11.5,"Overall survival",0.998040928807573,"No weights",0.997153879855808,0.998825715624364,"strategy_1"
11.5,"Vaginal delivery",0.00195907119242735,"No weights",0.00117428437563622,0.00284612014419173,"strategy_1"
11.5,"Other modes",0,"No weights",0,0,"strategy_1"
12,"Overall survival",0.997922621442849,"No weights",0.996939528412509,0.998717075032117,"strategy_1"
12,"Vaginal delivery",0.00207737855715087,"No weights",0.00128292496788244,0.00306047158749135,"strategy_1"
12,"Other modes",0,"No weights",0,0,"strategy_1"
12.5,"Overall survival",0.996713657074516,"No weights",0.995597309031667,0.997846156715134,"strategy_1"
12.5,"Vaginal delivery",0.00328634292548389,"No weights",0.0021538432848662,0.00440269096833357,"strategy_1"
12.5,"Other modes",0,"No weights",0,0,"strategy_1"
13,"Overall survival",0.99315769110965,"No weights",0.991555105760305,0.994896363142076,"strategy_1"
13,"Vaginal delivery",0.00671911876466831,"No weights",0.00502793490061198,0.00842867227404072,"strategy_1"
13,"Other modes",0.000123190125681882,"No weights",0,0.00037178853856478,"strategy_1"
13.5,"Overall survival",0.985917174967769,"No weights",0.983594484731049,0.98846675334894,"strategy_1"
13.5,"Vaginal delivery",0.0139596349065505,"No weights",0.0114290813291438,0.016132998964564,"strategy_1"
13.5,"Other modes",0.000123190125681882,"No weights",0,0.00037178853856478,"strategy_1"
14,"Overall survival",0.977910849175946,"No weights",0.974801434132028,0.9811547303378,"strategy_1"
14,"Vaginal delivery",0.0215841527535294,"No weights",0.0185591300707757,0.0246564081343455,"strategy_1"
14,"Other modes",0.000504998070526144,"No weights",0,0.00100475926853395,"strategy_1"
14.5,"Overall survival",0.970015060933154,"No weights",0.966713562434776,0.973745551444778,"strategy_1"
14.5,"Vaginal delivery",0.0292210922401378,"No weights",0.0255584229672496,0.0326442318809987,"strategy_1"
14.5,"Other modes",0.000763846826709461,"No weights",0.000250813227657176,0.00139679883785985,"strategy_1"
15,"Overall survival",0.958294155821314,"No weights",0.953772324360774,0.962864095679733,"strategy_1"
15,"Vaginal delivery",0.0405456818739788,"No weights",0.0361340840724417,0.0450754271309495,"strategy_1"
