"time","event","prob","method","cif_lower","cif_upper","clone"
16,"Overall survival",0.175968543010422,"No weights",0.156166718851937,0.198568979363687,"window_0_8"
16,"Vaginal delivery",0.669433245832221,"No weights",0.643118292279507,0.694941145994494,"window_0_8"
16,"Other modes",0.154598211157353,"No weights",0.1381612764077,0.175270073607393,"window_0_8"
16.5,"Overall survival",0.148615919744554,"No weights",0.129324217796569,0.171522774468766,"window_0_8"
16.5,"Vaginal delivery",0.686756573900604,"No weights",0.660910545145632,0.709398924737788,"window_0_8"
16.5,"Other modes",0.164627506354838,"No weights",0.148772346179278,0.185467474671587,"window_0_8"
17,"Overall survival",0.132204345785032,"No weights",0.114896902314689,0.154464344262212,"window_0_8"
17,"Vaginal delivery",0.700432885533538,"No weights",0.676177021913331,0.723312659251204,"window_0_8"
17,"Other modes",0.167362768681425,"No weights",0.151616868603284,0.187484865921191,"window_0_8"
17.5,"Overall survival",0.122175050587547,"No weights",0.106063923621368,0.144337481911276,"window_0_8"
17.5,"Vaginal delivery",0.707726918404436,"No weights",0.683915947511815,0.729902690496929,"window_0_8"
17.5,"Other modes",0.170098031008012,"No weights",0.153468140451691,0.19072365024927,"window_0_8"
18,"Overall survival",0.1112340012812,"No weights",0.0951919267902136,0.129773352876633,"window_0_8"
18,"Vaginal delivery",0.714109197166472,"No weights",0.691560405758766,0.736157478752889,"window_0_8"
18,"Other modes",0.174656801552323,"No weights",0.156689189879775,0.193605728073359,"window_0_8"
18.5,"Overall survival",0.0993811978659897,"No weights",0.0833247793370718,0.11775499658677,"window_0_8"
18.5,"Vaginal delivery",0.720491475928508,"No weights",0.69839785612798,0.742107687480143,"window_0_8"
18.5,"Other modes",0.180127326205497,"No weights",0.160874394828565,0.199695804971254,"window_0_8"
19,"Overall survival",0.0902636567773668,"No weights",0.0760256579988308,0.10691085976265,"window_0_8"
19,"Vaginal delivery",0.725962000581681,"No weights",0.702906920813982,0.748274498588074,"window_0_8"
19,"Other modes",0.183774342640946,"No weights",0.165456136021405,0.203201169484901,"window_0_8"
19.5,"Overall survival",0.0802343615798816,"No weights",0.0673423899092467,0.0967759652042268,"window_0_8"
19.5,"Vaginal delivery",0.733256033452579,"No weights",0.709074047662189,0.754365298365144,"window_0_8"
19.5,"Other modes",0.186509604967533,"No weights",0.16824817655783,0.206446290408823,"window_0_8"
20,"Overall survival",0.0702050663823964,"No weights",0.0581717977740696,0.0859400895007657,"window_0_8"
20,"Vaginal delivery",0.740550066323477,"No weights",0.718395369605423,0.762187029430502,"window_0_8"
20,"Other modes",0.18924486729412,"No weights",0.169775192451055,0.210466051608053,"window_0_8"
20.5,"Overall survival",0.0601757711849112,"No weights",0.0481315446120475,0.0750674193415829,"window_0_8"
20.5,"Vaginal delivery",0.749667607412099,"No weights",0.726877383777008,0.771735813791168,"window_0_8"
20.5,"Other modes",0.190156621402982,"No weights",0.170798645149817,0.211025512227238,"window_0_8"
21,"Overall survival",0.050146475987426,"No weights",0.040185261625149,0.0632108276355996,"window_0_8"
21,"Vaginal delivery",0.758785148500722,"No weights",0.737600906199969,0.779444720813129,"window_0_8"
