"time","event","prob","method","cif_lower","cif_upper","clone"
16,"Overall survival",0.175968543010422,"No weights",0.155755833486389,0.196799777020867,"window_0_8"
16,"Vaginal delivery",0.669433245832221,"No weights",0.643940370473089,0.693312893528227,"window_0_8"
16,"Other modes",0.154598211157353,"No weights",0.136932169287521,0.173231277224173,"window_0_8"
16.5,"Overall survival",0.148615919744554,"No weights",0.128684646545875,0.169581166229543,"window_0_8"
16.5,"Vaginal delivery",0.686756573900604,"No weights",0.660634492885927,0.711498227776296,"window_0_8"
16.5,"Other modes",0.164627506354838,"No weights",0.148550814468257,0.186201344960376,"window_0_8"
17,"Overall survival",0.132204345785032,"No weights",0.111230260574073,0.150660279548215,"window_0_8"
17,"Vaginal delivery",0.700432885533538,"No weights",0.674734226289158,0.725357693166467,"window_0_8"
17,"Other modes",0.167362768681425,"No weights",0.15026784068239,0.189212066887117,"window_0_8"
17.5,"Overall survival",0.122175050587547,"No weights",0.102230523372923,0.141652847752357,"window_0_8"
17.5,"Vaginal delivery",0.707726918404436,"No weights",0.682944854993029,0.731952120300427,"window_0_8"
17.5,"Other modes",0.170098031008012,"No weights",0.153109165056245,0.190877069508478,"window_0_8"
18,"Overall survival",0.1112340012812,"No weights",0.0913681173008163,0.129624526719083,"window_0_8"
18,"Vaginal delivery",0.714109197166472,"No weights",0.68971380259723,0.738391265225013,"window_0_8"
18,"Other modes",0.174656801552323,"No weights",0.157836988693257,0.195221200741416,"window_0_8"
18.5,"Overall survival",0.0993811978659897,"No weights",0.081226521343699,0.117993114180658,"window_0_8"
18.5,"Vaginal delivery",0.720491475928508,"No weights",0.69624983172035,0.743343017748664,"window_0_8"
18.5,"Other modes",0.180127326205497,"No weights",0.163289417489974,0.201341878262119,"window_0_8"
19,"Overall survival",0.0902636567773668,"No weights",0.0732845971128547,0.107742019174773,"window_0_8"
19,"Vaginal delivery",0.725962000581681,"No weights",0.701197709418701,0.746596294634506,"window_0_8"
19,"Other modes",0.183774342640946,"No weights",0.165911172707892,0.204971783129609,"window_0_8"
19.5,"Overall survival",0.0802343615798816,"No weights",0.0657423970031991,0.0958878823154449,"window_0_8"
19.5,"Vaginal delivery",0.733256033452579,"No weights",0.707531204775639,0.7546792618739,"window_0_8"
19.5,"Other modes",0.186509604967533,"No weights",0.167985525555276,0.208890742001911,"window_0_8"
20,"Overall survival",0.0702050663823964,"No weights",0.0565064647980316,0.0848114730153709,"window_0_8"
20,"Vaginal delivery",0.740550066323477,"No weights",0.715002015397631,0.760916660132208,"window_0_8"
20,"Other modes",0.18924486729412,"No weights",0.169814871669301,0.211688746799287,"window_0_8"
20.5,"Overall survival",0.0601757711849112,"No weights",0.0480307163342124,0.0742197720348759,"window_0_8"
20.5,"Vaginal delivery",0.749667607412099,"No weights",0.721579012172494,0.76960037645124,"window_0_8"
20.5,"Other modes",0.190156621402982,"No weights",0.170234120101147,0.212779856065059,"window_0_8"
21,"Overall survival",0.050146475987426,"No weights",0.0390137428445387,0.0634816042901591,"window_0_8"
21,"Vaginal delivery",0.758785148500722,"No weights",0.732116923667436,0.780723173311092,"window_0_8"
21,"Other modes",0.191068375511844,"No weights",0.171172561106618,0.213548866593722,"window_0_8"
21.5,"Overall survival",0.0464994595519768,"No weights",0.0352888855203102,0.0596218888989368,"window_0_8"
21.5,"Vaginal delivery",0.761520410827309,"No weights",0.734593297290971,0.782209814067128,"window_0_8"
21.5,"Other modes",0.191980129620707,"No weights",0.17247732571927,0.215104519064727,"window_0_8"
22,"Overall survival",0.04376419722539,"No weights",0.0333839580390185,0.0562132238681973,"window_0_8"
22,"Vaginal delivery",0.763343919045033,"No weights",0.735300411232038,0.783967944866073,"window_0_8"
22,"Other modes",0.192891883729569,"No weights",0.174327585729509,0.21620991510952,"window_0_8"
22.5,"Overall survival",0.0410289348988031,"No weights",0.0310180688090097,0.053131363482885,"window_0_8"
22.5,"Vaginal delivery",0.765167427262758,"No weights",0.73820149956482,0.785002823673613,"window_0_8"
22.5,"Other modes",0.193803637838431,"No weights",0.175258935079173,0.217114755199038,"window_0_8"
23,"Overall survival",0.0337349020279048,"No weights",0.0250494903421707,0.0453356993480061,"window_0_8"
23,"Vaginal delivery",0.772461460133656,"No weights",0.74618278993594,0.792667382329361,"window_0_8"
23,"Other modes",0.193803637838431,"No weights",0.175258935079173,0.217114755199038,"window_0_8"
23.5,"Overall survival",0.0300878855924556,"No weights",0.022040345582515,0.0406653221545915,"window_0_8"
23.5,"Vaginal delivery",0.77428496835138,"No weights",0.746854587043364,0.793788261571976,"window_0_8"
23.5,"Other modes",0.195627146056156,"No weights",0.177526837113838,0.218769579793606,"window_0_8"
24,"Overall survival",0.0264408691570064,"No weights",0.0196334543993176,0.0356914236465691,"window_0_8"
24,"Vaginal delivery",0.777020230677967,"No weights",0.749726475995125,0.796412037400011,"window_0_8"
24,"Other modes",0.196538900165018,"No weights",0.177719188457362,0.220656393157141,"window_0_8"
